Date,Campaign,Campaign Id,Ad Group,Ad ID,Impressions,Clicks,Conversions (1-Per-Click),Interactions,Avg Position,Cost
13/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
14/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
15/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,14,0,0,0,1.1,0
16/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
17/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
18/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,21,1,0,1,1,13.5
19/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
20/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,20,0,0,0,1.9,0
21/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,18,0,0,0,1.8,0
22/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,1,0,1,1,1.87
23/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,2,0
24/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
25/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,2,0,0,0,1,0
26/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,7,0
27/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,370,1,1,1,1.8,31.4
28/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,1,0,0,0,1,0
29/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,9,0,0,0,1.6,0
30/07/2015 00:00,brand_awareness_north,175914107,ga_smile_brand_awareness_north,44920266827,4,0,0,0,1,0
