Target,DateStart,DateEnd,AdAccountId,AdAccountName,CampaignId,AdSetId,AdId,Placement,Clicks,CPC,CPM,CPP,CTR,Frequency,Impressions,Reach,Spend,Total Actions,Total Unique Actions,Unique Clicks,Unique CTR,Website Clicks
act_101,13/07/2015 00:00,13/07/2015 00:00,453,Demo,6058631,100,450,Instant Article,54,0.478519,12.120075,24.308561,2.532833,2.005644,2132,1063,25.84,54,41,43,4.045155,0
act_101,14/07/2015 00:00,14/07/2015 00:00,453,Demo,6058631,100,450,Instant Article,2,0.475,10.43956,12.025316,2.197802,1.151899,91,79,0.95,1,1,2,2.531646,1
act_101,15/07/2015 00:00,15/07/2015 00:00,453,Demo,6058631,100,450,Mobile External ,11,0.396364,9.276596,15.62724,2.340426,1.684588,470,279,4.36,11,6,10,3.584229,0
act_101,16/07/2015 00:00,16/07/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,16,5.225,41.365661,44.873859,0.791687,1.084809,2021,1863,83.6,11,11,16,0.85883,0
act_101,17/07/2015 00:00,17/07/2015 00:00,453,Demo,6058631,100,450,Instant Article,3,0,6.979167,8.815789,0,1.263158,288,228,2.01,0,0,0,0,0
act_101,18/07/2015 00:00,18/07/2015 00:00,453,Demo,6058631,100,450,Mobile External ,54,0.478519,12.120075,24.308561,2.532833,2.005644,2132,1063,25.84,54,44,43,4.045155,1
act_101,19/07/2015 00:00,19/07/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,20,6.161,34.583216,42.948763,0.561325,1.241896,3563,2869,123.22,8,8,18,0.627396,0
act_101,20/07/2015 00:00,20/07/2015 00:00,453,Demo,6058631,100,450,Instant Article,1,2.61,7.744807,9.388489,0.296736,1.21223,337,278,2.61,1,1,1,0.359712,0
act_101,21/07/2015 00:00,21/07/2015 00:00,453,Demo,6058631,100,450,Mobile External ,55,0.36,12.523719,21.734358,3.478811,1.735456,1581,911,19.8,53,43,44,4.829857,0
act_101,22/07/2015 00:00,22/07/2015 00:00,453,Demo,6058631,100,450,Mobile Feed,40,3.5685,38.851388,47.73913,1.088732,1.228763,3674,2990,142.74,33,32,38,1.270903,0
act_101,23/07/2015 00:00,23/07/2015 00:00,453,Demo,6058631,100,450,Instant Article,3,0.793333,8.206897,10.672646,1.034483,1.300448,290,223,2.38,3,3,3,1.345291,1
